,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G_avg
0,GP,F,19,U,GT3,T,3,3,other,other,,other,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,2,3,10,3.0,3.0,3.0,3.0
1,GP,F,15,U,,A,3,4,other,other,,mother,1,2,0,yes,,no,yes,yes,yes,yes,yes,,3,2,1,1,1,0,2.75,3.5,3.75,3.3333333333333335
2,GP,F,15,U,GT3,T,4,4,teacher,teacher,,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3,2,1,1,5,0,5.0,5.0,4.75,4.916666666666667
3,GP,M,16,U,LE3,T,4,3,health,other,,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,1,3,1,3,5,4,3.0,3.5,3.5,3.3333333333333335
4,GP,M,19,U,LE3,A,4,3,services,at_home,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,3,1,1,1,1,12,3.75,3.75,3.75,3.75
5,GP,M,18,R,GT3,T,2,2,services,other,,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3.0,3,3,1,2,4,0,2.75,2.0,1.0,1.9166666666666667
6,GP,F,18,U,GT3,T,2,2,at_home,at_home,,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,2,2,5,5.5,5.5,5.75,5.583333333333333
7,GP,F,18,U,LE3,T,2,2,other,other,,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4.0,3,3,1,1,2,0,3.0,3.0,1.0,2.3333333333333335
8,GP,M,17,U,LE3,T,4,4,teacher,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,4,4,1,3,5,0,4.25,3.75,3.5,3.8333333333333335
9,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,2,2,2,-1,3.5,3.5,1.0,2.6666666666666665
10,MS,F,18,R,LE3,T,4,4,other,other,,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5.0,4,4,1,1,1,0,5.75,5.5,5.75,5.666666666666667
11,GP,F,17,U,GT3,A,2,1,other,other,,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,-1,4.0,3.5,4.0,3.8333333333333335
12,GP,M,22,U,GT3,T,3,1,services,services,,mother,1,1,3,no,no,no,no,no,no,yes,yes,5.0,4,5,5,5,1,16,2.5,3.0,3.0,2.8333333333333335
13,GP,F,16,U,GT3,T,2,2,at_home,other,,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1,2,1,1,5,6,3.5,4.25,4.25,4.0
14,GP,M,16,U,LE3,T,4,3,services,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,2,5,10,4.75,4.75,4.75,4.75
15,MS,F,20,U,GT3,T,4,2,health,other,,other,2,3,2,no,yes,yes,no,no,yes,yes,yes,5.0,4,3,1,1,3,4,4.75,4.5,4.75,4.666666666666667
16,MS,M,19,R,GT3,T,1,1,other,other,,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4.0,4,4,3,3,5,4,3.0,3.0,3.0,3.0
17,GP,F,17,U,GT3,T,4,4,other,teacher,,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4.0,2,1,1,1,4,0,3.75,3.75,4.0,3.8333333333333335
18,GP,F,15,U,GT3,T,4,4,services,services,,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6,2.75,3.25,3.0,3.0
19,GP,M,17,R,GT3,T,1,3,other,other,,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2,4,1,4,5,20,3.25,2.75,3.0,3.0
20,GP,F,17,U,,T,2,2,other,other,,father,1,1,0,no,,no,no,yes,yes,yes,yes,,4,4,1,3,5,12,3.5,4.25,4.0,3.9166666666666665
21,GP,F,18,U,GT3,T,3,3,services,services,,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5.0,3,4,1,1,4,0,2.75,1.0,1.0,1.5833333333333333
22,GP,F,17,R,LE3,T,2,2,services,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,3,2,2,2,3,3,3.75,3.75,3.75,3.75
23,GP,F,16,U,GT3,T,4,3,other,at_home,,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5.0,3,5,1,1,3,0,2.75,3.25,3.0,3.0
24,GP,F,17,U,GT3,T,3,3,other,other,,mother,1,3,0,no,no,no,yes,no,yes,no,no,3.0,2,3,1,1,4,4,3.5,3.25,3.25,3.3333333333333335
25,GP,F,16,U,GT3,T,2,3,services,services,,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,3,3,1,1,2,10,3.75,4.0,4.25,4.0
26,GP,M,17,U,GT3,T,3,1,services,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5.0,4,4,3,4,5,2,3.25,3.25,3.5,3.3333333333333335
27,GP,F,18,U,LE3,T,2,1,services,at_home,,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5.0,4,3,1,1,5,12,4.0,4.0,4.25,4.083333333333333
28,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,4,1,1,1,0,2.75,3.25,3.0,3.0
29,GP,F,17,U,GT3,T,3,4,services,other,,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4.0,4,5,1,3,5,16,5.0,4.75,4.75,4.833333333333333
30,GP,F,15,U,LE3,A,4,3,other,other,,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2,2,1,1,5,8,3.0,3.0,2.5,2.8333333333333335
31,GP,M,15,U,GT3,T,2,3,other,other,,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5.0,3,2,1,2,5,4,3.75,3.5,3.75,3.6666666666666665
32,GP,M,18,U,LE3,T,1,1,other,other,,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2.0,3,5,2,5,4,0,2.5,2.25,1.0,1.9166666666666667
33,GP,F,16,U,LE3,T,2,4,other,health,,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,2,1,2,5,2,4.25,4.25,4.25,4.25
34,GP,F,15,U,GT3,T,1,1,other,services,,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,2,1,2,5,0,3.0,3.75,3.75,3.5
35,GP,F,16,U,,T,2,2,services,services,,mother,3,2,0,no,,yes,no,yes,yes,yes,no,,3,3,2,3,4,2,4.0,4.25,4.25,4.166666666666667
36,GP,F,16,U,GT3,T,2,1,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4.0,3,5,1,1,5,2,3.0,3.25,3.5,3.25
37,GP,M,16,U,GT3,T,4,3,health,services,,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4.0,2,2,1,1,2,4,5.75,5.75,6.0,5.833333333333333
38,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,4,2,1,1,5,8,3.25,3.25,3.25,3.25
39,GP,F,17,U,GT3,T,1,1,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4.0,4,4,1,3,1,4,3.25,3.25,3.5,3.3333333333333335
40,GP,F,17,U,LE3,T,4,3,health,other,,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,14,4.25,4.25,4.5,4.333333333333333
41,GP,F,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,3,3,1,1,1,0,3.75,3.5,3.5,3.5833333333333335
42,MS,F,17,R,GT3,T,1,1,other,services,,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5.0,2,1,1,2,1,0,2.75,2.5,1.0,2.0833333333333335
43,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5.0,5,5,3,4,5,6,3.75,3.75,3.5,3.6666666666666665
44,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16,2.5,2.25,2.25,2.3333333333333335
45,GP,F,18,R,LE3,T,1,1,at_home,other,,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5.0,2,2,1,1,3,1,4.0,4.0,4.0,4.0
46,GP,F,17,R,GT3,A,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,2,3,2,4,3.25,3.5,3.5,3.4166666666666665
47,GP,M,18,U,LE3,T,3,4,services,other,,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,3,1,3,5,11,5.0,4.75,4.75,4.833333333333333
48,GP,F,16,U,GT3,T,4,3,health,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,5,1,5,2,2,5.0,5.0,5.0,5.0
49,GP,M,15,U,GT3,T,2,2,services,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,4,1,2,5,6,5.0,4.5,4.75,4.75
50,GP,F,15,R,GT3,T,3,3,services,services,,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,1,2,3,3,8,3.5,3.5,3.5,3.5
51,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3,4,1,1,5,0,3.5,3.25,3.25,3.3333333333333335
52,GP,F,16,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1.0,3,2,1,1,1,10,3.75,4.0,4.25,4.0
53,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5.0,4,5,2,3,5,0,3.5,3.5,3.25,3.4166666666666665
